FileName,FileSize,ResultHash,RefTime[us],NeonTime[us],ratio
603.bin,6088572,5f95d60db2d2987533bec0fa576429b1f6228ca15aab9b34543c5090dbde59f5,59968,8360,7.17321
604.bin,5358414,f6773f83df27adeda039bcd33e8221e49c9936cf159bab6b99d094d96d96ea69,52764,7362,7.16707
605.bin,11022876,e6d7e99dc791bbc3f5829f599a4021f047b295807d9c26ed9375fa2cbfb38543,108537,15146,7.16605
606.bin,16636739,a33264c85a06f46ef49717f9f31333a96b2710ba3cfdf828e11c727f9af5717b,163886,22843,7.17445
607.bin,3081200,8a7e4e2193e6ca6feb64686080b2224e2ef22deadf8c40b789566e488a603c18,30357,4240,7.15967
608.bin,648304,aa2f2d3189ffe28d472f94c58c82ecc023f00446c55fb2ae582ec6d2a5a3df41,6370,894,7.12528
609.bin,11996843,d63b740979deb63e3ccdbf5de0626b3f250565f113bc96805b6467c396a72111,118187,16476,7.17328
610.bin,10961441,5c7dffbc14df7661745896fdd3ab670dc603c8382f3b2c62ad733cd6afc056d9,107937,15055,7.16951
611.bin,14554533,bcbeca11301cd4d4a6bf9076a9caad55a8e98ad288f2b93fa0ff18f8452699f2,142996,19994,7.15195
612.bin,16265285,b587b39c2b00f13a161ef7c4c0f814c606be9ea838124d5b15544da3b28f3173,160221,22350,7.16872
613.bin,4528581,d94e75d960bf1bd3c54943ec29fb3465e439ff10bfd07abee0fe178c901855b8,44621,6230,7.16228
614.bin,8718012,46e9e96b117845bc2475931ab20066b64348adfbb8a64e747ccfe1639010854a,85859,11979,7.16746
615.bin,4537127,d94a1b5035f6eba8995961ccb624cd3a44234d6a513b16f59c3f951133efe8aa,44684,6229,7.17354
616.bin,2878664,39e2221a8535c70941346efd9b7660cb986276d5616bbafe52aa52b894af56a0,28361,3963,7.15645
617.bin,739399,4c8626de8e715b8d4b9dca50d856a88267c9a1efdc0cb942cbfc53f726215832,7273,1016,7.15846
618.bin,4280176,ab2851b3e7c3cf37f44f7a95b91904f0b5709e7461dccceb758f122045456207,42144,5876,7.17223
619.bin,6850030,b08a9d927342cdf0fd20eecead6e47773ed154457293cb1f5f652c3d2ecb79fd,67488,9419,7.16509
620.bin,3118912,a9e2ba5be866da1ec5aca46b2caa59dd3f813a7b114bdbbd2ff7734165cf66e6,30709,4289,7.15994
621.bin,12774683,7daeb77469c2987545a1ea10c755aa4b19a6fb1905b805d71a00941dec0af00c,125494,17548,7.15147
622.bin,7994698,a177a099063bc429e856b89e137c94e57850e170ffbad2a874bd885ccd4af0e1,78758,10984,7.17025
623.bin,6082780,d474649bb2e8a075452d12271f050657eb499735ad4bc07e94ed02129d71f7f5,59944,8361,7.16948
624.bin,8701143,70fbe353174727a9802c6a658aee4bd2c3988647b82d40c0e5216a5b0a68c4b9,85543,11960,7.15242
625.bin,7133079,e1c5713541953e07542f59fea30732b759aa3c59492cf59bd95ea1710e7703c0,70286,9802,7.17058
626.bin,16320329,74d37dabe7bd28aa33917728203cfe15f76d4d6677e2aa88d172dd1fde4d76f4,160725,22728,7.07167
627.bin,9897926,1bb3adf0b81d95160ea3947b94c371101026dabe5f3f7581e0be29a9f863785e,97825,13743,7.11817
628.bin,16558830,b7e2164c8e40d8e1c590de8a327b46302c0d8105bb9fbbc175f452ce0eb3127a,163415,22755,7.1815
629.bin,11670412,db9143863601543de8e28f6ae2f9ddf0f8f41b3d2ed450110dc72aab44a106e2,114670,16036,7.15079
630.bin,821298,eff626b51fa7425a3c2282c05d9bb4a4e95c22257d1de366629b659f90fb85c7,8071,1131,7.13616
631.bin,8399550,cfee4c16530a2c1c889b0f12cd9c4acbdd0aec391de122555872c56a106ee7a4,82717,11535,7.17096
632.bin,11746433,fbb16504b3286eeda005bf88468a75c340ec08c53d05501399141c7b0aa39158,115677,16140,7.1671
633.bin,15401410,c0c4401515a72110aefd6064ed5535ecc5756f9861306c0689982e370272cf31,151652,21154,7.16895
634.bin,16203423,afb0e9f034a462da29c9bf98deed4888a7f0eee19bac99d5d8a76741e80914ff,159615,22254,7.17242
635.bin,13387306,2b173655a29c64cd7142c79cd313ea760572355b8110a1493a8fc201dde4724a,131839,18388,7.16984
636.bin,12155563,dade3f3f5654a42c80c258aa3eadf904513d5aa958599873c3cadd558d858346,119721,16690,7.17322
637.bin,7570684,5850e3ff3d1766816e2bb2330150602083755561f2e01cb3958beb21b64d344b,74427,10405,7.153
638.bin,8855804,e9238f27bd97ab173ce4ffe928bdd067c549c45a75d93b0a829f24bf360ae8a7,87217,12170,7.16656
639.bin,1471996,a5957c2fced0ecc62a576e8ce46277e7bf3324efb2dcce2dbd4589bcf7fe0fa4,14465,2023,7.15027
640.bin,3589160,962cc500c3d34760091bd1820ae0ccc0a9519fe1859738018b0eb2d0738bc499,35340,4927,7.17272
641.bin,14919043,9b242e22c98d8975ba7ba832f808c07aee491e8e5c03300f97864ed5e0319dc3,147052,20493,7.17572
642.bin,14408794,7464ea0b28d4253e0aca362ca387768d5bd8a60b25ac24b2109bbfa810ed18b9,141900,19794,7.16884
643.bin,1743876,3ba0da3c4deea464e5116a5c338734ee1e2edb4d721612ecdc7760f612788823,17131,2394,7.15581
644.bin,2341796,d840ee03258f25b38597aed2bff7712897b6fd0fda220598d39a69646a7beffe,23060,3224,7.15261
645.bin,7779873,7ddd5e2eebc36cf9b91e2c2b66871d52d79b4d14f5892733bdce4da33b2d750f,76446,10705,7.14115
646.bin,9446842,fde109064c09bde3c72c8404b81c0f510663b129a5e717f2e097f43e2dc6a324,92805,12977,7.1515
647.bin,6321028,1683ad2e94048532346f420ef1a16d2ac78f2de2b50a06d3391bde2855e74e20,62111,8690,7.14741
648.bin,12950384,809bbb16b4eb7c4138f567f271717156fcbd07b39458d2170db9c41745f57884,127542,17792,7.1685
649.bin,16200672,2cd4231fc5f42965fa405b867f0bf3a8e8cc304d9cd0a956116886accb98e3ea,159251,22269,7.15124
650.bin,7518165,da1c6fbc386fb73ccde8ccfc76100caf5a6f51b2c8b0295721dc7538be99d481,74035,10329,7.16768
651.bin,15580844,a8c998499191794ece2d5a637f6bc54525b257c5e56ed4e983bf6ed4f220a2d7,153467,21404,7.17001
652.bin,3508677,ddb9d2ecaf9f79690220592067e4f7bfbebfa6d92e228898a5f8eebfd0ab896f,34589,4815,7.18359
653.bin,10253360,dbb3957ae3bcca14f1ece5b77b1e974cea0d1875fa55d728382ec7d60f533b1c,100980,14104,7.15967
654.bin,13967813,4ed724e515dcf912d3042552a53a0192de39a8a05878c789c4f8974839b17299,137229,19193,7.14995
655.bin,15052438,42d054e7502e5c2fd46aa394de70fe64c95b5a599c8ed5686a71b08458363698,148265,20675,7.17122
656.bin,8371098,cfdb64f98f93b89f81259da8cddbee5c728a87af44192515339baae69a4adccd,82290,11497,7.15752
657.bin,12695583,d7debe881bfb9057ddb259f6f03f837f0747b27b5316d856abd93fe1dd4617a0,125028,17446,7.16657
658.bin,7100290,94c0000db40c2e17cb2b01bbd8140a129961261ad51b1fd3ce766c22f1def19e,69792,9761,7.15009
659.bin,12058990,dbd135550ea31669b975014e4b92d2188d954d2ad19ed58b194c23ab6893aff2,119534,16769,7.12827
660.bin,14346430,a897e7d555b7ebcaed262e3c816521350fb8db409fb56cc392c91686fff61a60,141586,19747,7.17
661.bin,2932861,5c5e75506c8d47f558df7476ce959b3956cde34144057bc22d63e4a114575c6b,28887,4031,7.16621
662.bin,14081923,b5ef533f84e2b55daaae3e11e850ccb6d17e344259264421f8d489e83ade6b34,138692,19335,7.17311
663.bin,15644792,e63d137c268393ba397d331ce65a8a5856033d78b1de39cc6c1dc49d27eec094,154029,21482,7.17014
664.bin,4870008,ab0f03caca571a879425b106135091346b13e57bbd11fccf73cf7e81049fb42b,47869,6691,7.15424
665.bin,15641124,f07fe86696561284bdba92bb2af314aac7bae5b796c74190f47a1a8835d11fbf,153670,21501,7.14711
666.bin,11006149,b6789e40f9d3087943e7d3dab1497df38b9d67e7a273e5d9f506e269b9d0ee10,108119,15120,7.15073
667.bin,6369781,cb33429b094ed3b4fd6923283e4bda474ee22339dd90cadf0426fe77526498e2,62749,8747,7.17377
668.bin,16070875,bfb585fa2de43e4d33655c781138b06b1a8dca7c0a378c1ee380fec985fd09c2,157877,22094,7.1457
669.bin,9180820,45d2eb6aec3918d920a95eb95fa0d16bab043b514711bab7d8585fb05e488abd,90435,12613,7.16998
670.bin,14939997,28a9ad6f70a14046e9746821f70133792313a20ce654e8128d57aa1c5793f7b6,147150,20521,7.1707
671.bin,3528852,81ba3030d9a07d3fcf06295a4dc22e153bac6a6f956463eb55648b7880f27fdf,34755,4844,7.17486
672.bin,13255934,be9c773b0657572451601bf896b60859a0bedc82f1594d054beb0c1dcd314c83,130213,18217,7.14788
673.bin,16533822,4aa89c7d928d575badd6341882aeb942d64cf4dc5347b07974f76bea0a302995,162824,22713,7.16876
674.bin,13896069,cb403b4e18c926ef7f99c306ad1b87c6c110e9be4f0358c53b48f06467ee819a,136866,19091,7.16914
675.bin,6084672,f6e85ec76c169367212a06220b2c43840892417692e77311f3bfeb7b1798866b,59788,8361,7.15082
676.bin,1153830,1673f8526f0d15f4b86f784b5c076aad6661202d923bcac65a6a4d1a6f56eed2,11386,1587,7.17454
677.bin,3557006,c02e844547d04d871866f7c4e9e75604692ef9ee553bb725161c72aa7911d743,34927,4894,7.1367
678.bin,12240029,03ca44ff8461315ed767770d3b1c84f8e59ba753764db392a22d755c45b7c04f,120550,16826,7.16451
679.bin,3380052,e3b80b68961ac0a04588da392cb37db5b14b81ae1597e0f6b30487b3f6141185,33290,4641,7.17302
680.bin,5059545,891b866eebb3fd80ed8fa417d80576744f5c489a9b32a83f778d85d6a014fa34,49829,6953,7.16655
681.bin,10842372,0b3094687386fb36c6829e230d197660941d242a24b5a0aadb258e4f5c2cdd42,106823,14893,7.1727
682.bin,14151696,dcea55c3c248886c225e03d090796cd43c3c2ae1a34245631042c675600aa02a,139448,19443,7.17214
683.bin,1901448,f84ca09a049e5f89a82e84e5f1d7f5439fc39ee20ae75c91e9bd0c880c32588a,18741,2621,7.15032
684.bin,12421339,62e28be2dd381a66e83c47117ea99a37711df7072e4a088d16ef9e5e91a44305,122390,17058,7.17493
685.bin,12920033,c56cb1ead8792fd6d67f20bdd772e2c3db69cbe3dbe9cb143c7a84c40ccd92f1,127271,17750,7.1702
686.bin,4805338,2e3f6b25bd2662d9696c17c250d2dba49f60346b3210683f65597f1caa2cc170,47336,6600,7.17212
687.bin,7865966,117fdb8a6ed8c593b0e63683c26769738b2cc1254e0e436066f14e17baaca678,77453,10806,7.16759
688.bin,14117106,f83fe06826821c6242f0b1bd0fc6938f8f771aa1b97b1e129a87657211b8e250,139044,19399,7.16759
689.bin,14778995,0d1a75727ea3dc9c3a59a9a7407acaca15209b3453049ad5cbe4286789ed4450,145533,20305,7.16735
690.bin,10845367,551e44a271b98bedcbfed3c4f5ce92a79ebeef9c0d2b7eb783df1e1d61a86405,106539,14939,7.1316
691.bin,11743599,f53596259ce2e03937a0600b0886068206ff7866029630f18ab4285f25e7abac,116260,16217,7.16902
692.bin,11739849,98bb41e927c16ace587200e68983b8c282a4d1910c89db4785c0b862dd6401b9,115913,16145,7.1795
693.bin,7540465,e392947c4f23624d5ba0c3c84a6b9001bff3111a039d072c352917c0bcbaee65,74119,10364,7.15158
694.bin,6595458,b2f8ae750ea7f68d472b7deb4f78a8597ab0a08968969cf1e152b0eb9b9dc6dc,64989,9057,7.17555
695.bin,4300277,a9997e22e70ae2c6db4bfc70c3cbc2bc9358d7e4cd473561248486281b326a8a,42363,5918,7.15833
696.bin,5139891,901c96a310a4f8aa9a143d5f1bead19545810e8c00dc2a6e1c26d65c8440a899,50627,7074,7.15677
697.bin,15792582,ef06887d5091ee33ef2aaf0148aa80b6f2d0cc43b94a7b1c48d17b67d851df88,155565,21701,7.16856
698.bin,1101970,8c24bad395d915e1a03b4ab4bde9db34f1458817fc7666f080d63ac0b7302fd7,10880,1516,7.17678
699.bin,14694633,da1577855c316429541f66b992d8a559e325963fb846d7819ea27460131d9819,144381,20193,7.15005
700.bin,6101999,0f8d9c15491b80ab8fa76d9599f5161b75d37f1baa16ab9508c4cd17657f0c5a,59952,8391,7.1448
701.bin,13906195,ecf7a1b70174c5faec27fdb3750a05d2c5161204ae69adf037886495676883f3,136944,19100,7.16984
702.bin,5560259,d5b82f71d6220cfe86d218c5c3713887080fb982ce1803ff3104480cb04161e5,54777,7645,7.16508
703.bin,3493898,2440549340ac657a80a35e220268dfa4f171dd06308f1f8a56be7b6adb3ccff4,34327,4797,7.15593
704.bin,9360310,61f08a6127a97a69228201eabd0b373de7a9e698f520641387d9c0121822db45,92176,12855,7.17044
705.bin,4834015,8390c4063da739dcdaefa93d4a3ce2036c7355343e9ddb71b169c9ebba5965b9,47605,6639,7.17051
706.bin,5875976,c3100362466d6d3bd8c86c817f56a277f45f3d68d9ea26f82dc6c1221f12e55b,57982,8081,7.1751
707.bin,12216213,9541f3a5175f8bedf1436c3c4cc33b5a7758053c498a2e1d689b1cef3b15e82b,120272,16785,7.16545
708.bin,13758057,60e2aabdcb544a477c900dcd7c1698b96c63222918b0320cada972327afe75fe,135150,18900,7.15079
709.bin,3846901,43e4c918ef94cd2e2f2d5e34099171876b3f620f5fdbe4790650358838bf8ef0,37892,5285,7.16973
710.bin,3654298,52bcb1fed83f3e3a986859b79fd2503a51f4bbb661fec9bc27ad40b230a33bc3,35975,5026,7.15778
711.bin,5816873,2262179998380dacf2131f87588c073cc4f3f097e685f4ed4b93453a5dd6cff4,57278,7999,7.16065
712.bin,16310446,8295449ac4e9c246c08db30aa62a1a3bfcd0846a770ed00b323b52b195a907d5,160647,22408,7.16918
713.bin,14978574,dbe4341d279ca59c9966594acb3b7b7ee149a788020308f6b71f7b8e85b80fbd,147520,20574,7.17021
714.bin,16219050,0e787656de78a7cfd4a9afc309db6cab2733a627b46be5119a27ae07a0543584,159316,22283,7.14967
715.bin,4918439,7a26037db20d8890a6f093e4085151387350ad3e13921b51a2f6cd0a839105b1,48435,6760,7.16494
716.bin,2686524,e02ffc0adf5f188dfc2be74773ed4bca688d8ebc3c1f3ee20859e32ad5b003c5,26452,3690,7.16856
717.bin,9815296,53ae02028310317ff4bd6292d4cd658074bc5892d8cda449bca0696551b513e1,96447,13490,7.14952
718.bin,5199010,a6c4214d891e1c7d8e93692f83ea7bd18e42b7feaf054ede7560a6c94f215fb8,51203,7147,7.16426
719.bin,8605110,5557b3faca097c468d362a2a62b3ec56b7cba06168f7274f585943656ab9cfd3,84789,11828,7.1685
720.bin,9697441,a2df9652d92e7a0d7c186802dc9bfee0bbff44c41da3064af72b59c7278c637c,95539,13319,7.17314
721.bin,5679686,5c4063d7f0a976a95c000f66960b001acad24444dd41d7210cc5c02c8e08ee87,55956,7804,7.17017
722.bin,12901142,67e4bbbb60c04617f69898a6f8e1b3c45ab02d99aa9187ed7c8dde3b6d35d3da,127136,17722,7.17391
723.bin,14425993,7c7f43d10ddbc71bc3b02cc9355e7b3fd88d7576d6aebca21db2675985aaaf99,142101,19821,7.16921
724.bin,11227545,b85a703b177b60633db1812501d36f76a5ef30f2381f93f1da16ab9e571983e2,110608,15423,7.17163
725.bin,3805119,808a49eceef36326be52b2184353a4e3e70b9a9826d7f8abe837e7418719f9de,37475,5230,7.16539
726.bin,10746416,cf8718554ba9814257f220650a9ee7207aec989c22e52379a6e14be91ac269dd,105897,14787,7.16149
727.bin,1577159,3acb921e88cf1c54c6b11175e214852fea569611d02b177388ef266b0c12fb43,15544,2165,7.17968
728.bin,7018361,4af05cc25c0373ece07c1b2f830f0df7c5a2d8a2bb8ccffa667e3da077a6f3ce,69091,9651,7.15895
729.bin,2075384,1fc7035fcc66ff691c3a6f5e8882c321cd41f1e50ebeb44d781b6140496ca882,20448,2850,7.17474
730.bin,6522473,f42fe28b07a106d5c1fa98510ff4bba3dc5e26dda275a8f743bdcd094787e38d,64355,9068,7.09693
731.bin,13688848,d2ddd4b8deb345ca08b6915b40d7dc49b92adb18a2502d90c9e90c160c2a4b4d,135584,18819,7.20463
732.bin,10626266,9b05b46b143052ecf1c76349fcf853eb81baf60d9fda516de42d6a34240918dd,104976,14602,7.18915
733.bin,10478429,197c55f254c5aeabac86df41c538d979a97b080b3e1d6b7321962235cb3212f0,103203,14397,7.16837
734.bin,6123242,ac84037edb4f85666cb9d8d080bcec8e085bf4e7c181382bd794a86d4cee44d5,60318,8411,7.17132
735.bin,3734088,35654784d3c34fcb8dfde0be0598ba1bbc2d33114f71a6292c2ce0648dcae57e,36784,5128,7.17317
736.bin,5252619,6d35b11d935b4444030bc38c137de2feb8a206d4c3e6e3b4426f8e52a587f577,51592,7223,7.14274
737.bin,11069919,1cb85a14dfa2637e62070c967373c6ab557a9ca468b3f6ebfecc4bc0c39dc4f3,109039,15203,7.1722
